41299;#doc=soc_project.2.txt;;;;;;;;;;;;;;
41369;26;.;.;SENT;;;;;;;;;SENT;.;SENT
41370;;;;;;;;;;;;;;;
41371;1;Эээ;ЭЭЭ;NONLEX;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
41372;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41373;3;стал;СТАТЬ;V pf praet sg indic m -;;;л;а;т;с;;;V;СТАТЬ;V pf praet sg indic m -
41374;4;увлекаться;УВЛЕКАТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;а;к;V;УВЛЕКАТЬСЯ;V ipf - - inf - -
41375;5;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
41376;6;им;ОНИ;SPRO pl - - dat;;;м;и;;;;;SPRO;ОНИ;SPRO pl - - dat
41377;7;году;ГОД;S m inan loc2 sg;;;у;д;о;г;;;S;ГОД;S m inan loc2 sg
41378;8;в;В;PR;;;в;;;;;;PR;В;PR
41379;9;девяносто;ДЕВЯНОСТО;NUM acc - -;;;о;т;с;о;н;я;NUM;ДЕВЯНОСТО;NUM acc - -
41380;10;втором;ВТОРОЙ;A - loc sg plen m -;;;м;о;р;о;т;в;A;ВТОРОЙ;A - loc sg plen m -
41381;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41382;12;девяносто;ДЕВЯНОСТО;NUM acc - -;;;о;т;с;о;н;я;NUM;ДЕВЯНОСТО;NUM acc - -
41383;13;третьем;ТРЕТИЙ;A - loc sg plen m -;;;м;е;ь;т;е;р;A;ТРЕТИЙ;A - loc sg plen m -
41384;14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41385;15;познакомил;ПОЗНАКОМИТЬ;V pf praet sg indic m -;;;л;и;м;о;к;а;V;ПОЗНАКОМИТЬ;V pf praet sg indic m -
41386;16;впервые;ВПЕРВЫЕ;ADV -;;;е;ы;в;р;е;п;ADV;ВПЕРВЫЕ;ADV -
41387;17;меня;Я;SPRO sg 1p - acc;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
41388;18;с;С;PR;;;с;;;;;;PR;С;PR
41389;19;спортзалом;СПОРТЗАЛ;S m inan ins sg;;;м;о;л;а;з;т;S;СПОРТЗАЛ;S m inan ins sg
41390;20;мой;МОЙ;A - nom sg plen m -;;;й;о;м;;;;A;МОЙ;A - nom sg plen m -
41391;21;одноклассник;ОДНОКЛАССНИК;S m anim nom sg;;;к;и;н;с;с;а;S;ОДНОКЛАССНИК;S m anim nom sg
41392;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41393;23;у;У;PR;;;у;;;;;;PR;У;PR
41394;24;него;ОН;SPRO sg 3p m acc;;;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc
41395;25;папа;ПАПА;S m anim nom sg;;;а;п;а;п;;;S;ПАПА;S m anim nom sg
41396;26;занимался;ЗАНИМАТЬСЯ;V ipf praet sg indic m -;;;я;с;л;а;м;и;V;ЗАНИМАТЬСЯ;V ipf praet sg indic m -
41397;27;тяжелой;ТЯЖЕЛЫЙ;A - ins sg plen f -;;;й;о;л;е;ж;я;A;ТЯЖЕЛЫЙ;A - ins sg plen f -
41398;28;атлетикой;АТЛЕТИКА;S f inan ins sg;;;й;о;к;и;т;е;S;АТЛЕТИКА;S f inan ins sg
41399;29;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41400;30;это;ЭТО;ADVPRO;;;о;т;э;;;;ADVPRO;ЭТО;ADVPRO
41401;31;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
41402;32;бодибилдинг;БОДИБИЛДИНГ;S m inan acc sg;;;г;н;и;д;л;и;S;БОДИБИЛДИНГ;S m inan acc sg
41403;33;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41404;34;это;ЭТО;S n - nom sg;;;о;т;э;;;;S;ЭТО;S n - nom sg
41405;35;другой;ДРУГОЙ;A - nom sg plen m -;;;й;о;г;у;р;д;A;ДРУГОЙ;A - nom sg plen m -
41406;36;немножко;НЕМНОЖКО;ADV -;;;о;к;ж;о;н;м;ADV;НЕМНОЖКО;ADV -
41407;37;вид;ВИД;S m inan acc sg;;;д;и;в;;;;S;ВИД;S m inan acc sg
41408;38;спорта;СПОРТ;S m inan gen sg;;;а;т;р;о;п;с;S;СПОРТ;S m inan gen sg
41409;39;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41410;40;классический;КЛАССИЧЕСКИЙ;A - nom sg plen m -;;;й;и;к;с;е;ч;A;КЛАССИЧЕСКИЙ;A - nom sg plen m -
41411;41;спорт;СПОРТ;S m inan nom sg;;;т;р;о;п;с;;S;СПОРТ;S m inan nom sg
41412;42;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41413;43;который;КОТОРЫЙ;A - nom sg plen m -;;;й;ы;р;о;т;о;A;КОТОРЫЙ;A - nom sg plen m -
41414;44;был;БЫТЬ;V ipf praet sg indic m -;;;л;ы;б;;;;V;БЫТЬ;V ipf praet sg indic m -
41415;45;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
41416;46;сильно;СИЛЬНО;ADV -;;;о;н;ь;л;и;с;ADV;СИЛЬНО;ADV -
41417;47;популярен;ПОПУЛЯРНЫЙ;A - - sg brev m -;;;н;е;р;я;л;у;A;ПОПУЛЯРНЫЙ;A - - sg brev m -
41418;48;в;В;PR;;;в;;;;;;PR;В;PR
41419;49;советском;СОВЕТСКИЙ;A - loc sg plen m -;;;м;о;к;с;т;е;A;СОВЕТСКИЙ;A - loc sg plen m -
41420;50;союзе;СОЮЗ;S m inan loc sg;;;е;з;ю;о;с;;S;СОЮЗ;S m inan loc sg
41421;51;.;.;SENT;;;;;;;;;SENT;.;SENT
41422;;;;;;;;;;;;;;;
41423;1;И;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41424;2;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
41425;3;меня;Я;SPRO sg 1p - acc;;;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc
41426;4;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41427;5;еще;ЕЩЕ;ADV -;;;е;щ;е;;;;ADV;ЕЩЕ;ADV -
41428;6;пару;ПАРА;S f inan acc sg;;;у;р;а;п;;;S;ПАРА;S f inan acc sg
41429;7;моих;МОЙ;A - gen pl plen - -;;;х;и;о;м;;;A;МОЙ;A - gen pl plen - -
41430;8;товарищей;ТОВАРИЩ;S m anim gen pl;;;й;е;щ;и;р;а;S;ТОВАРИЩ;S m anim gen pl
41431;9;друг;ДРУГ;S - - nom sg;;;г;у;р;д;;;S;ДРУГ;S - - nom sg
41432;10;привел;ПРИВЕСТИ;V pf praet sg indic m -;;;л;е;в;и;р;п;V;ПРИВЕСТИ;V pf praet sg indic m -
41433;11;в;В;PR;;;в;;;;;;PR;В;PR
41434;12;качалку;КАЧАЛКА;S f inan acc sg;;;у;к;л;а;ч;а;S;КАЧАЛКА;S f inan acc sg
41435;13;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41436;14;с тех пор;с тех пор;ZERO;;;р;о;п;;х;е;ZERO;с тех пор;ZERO
41437;15;с;С;PR;;;с;;;;;;PR;С;PR
41438;16;разной;РАЗНЫЙ;A - ins sg plen f -;;;й;о;н;з;а;р;A;РАЗНЫЙ;A - ins sg plen f -
41439;17;цикличностью;ЦИКЛИЧНОСТЬ;S f inan ins sg;;;ю;ь;т;с;о;н;S;ЦИКЛИЧНОСТЬ;S f inan ins sg
41440;18;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
41441;19;хожу;ХОДИТЬ;V ipf praes sg indic - 1p;;;у;ж;о;х;;;V;ХОДИТЬ;V ipf praes sg indic - 1p
41442;20;в;В;PR;;;в;;;;;;PR;В;PR
41443;21;зал;ЗАЛ;S m inan acc sg;;;л;а;з;;;;S;ЗАЛ;S m inan acc sg
41444;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41445;23;даже;ДАЖЕ;PART;;;е;ж;а;д;;;PART;ДАЖЕ;PART
41446;24;преодолел;ПРЕОДОЛЕТЬ;V pf praet sg indic m -;;;л;е;л;о;д;о;V;ПРЕОДОЛЕТЬ;V pf praet sg indic m -
41447;25;такую;ТАКОЙ;A - acc sg plen f -;;;ю;у;к;а;т;;A;ТАКОЙ;A - acc sg plen f -
41448;26;манящую;МАНЯЩИЙ;A - acc sg plen f -;;;ю;у;щ;я;н;а;A;МАНЯЩИЙ;A - acc sg plen f -
41449;27;планку;ПЛАНКА;S f inan acc sg;;;у;к;н;а;л;п;S;ПЛАНКА;S f inan acc sg
41450;28;для;ДЛЯ;PR;;;я;л;д;;;;PR;ДЛЯ;PR
41451;29;мужчин;МУЖЧИНА;S m anim gen pl;;;н;и;ч;ж;у;м;S;МУЖЧИНА;S m anim gen pl
41452;30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41453;31;как;КАК;CONJ;;;к;а;к;;;;CONJ;КАК;CONJ
41454;32;сто;СТО;NUM acc - -;;;о;т;с;;;;NUM;СТО;NUM acc - -
41455;33;килограмм;КИЛОГРАММ;S m inan gen pl;;;м;м;а;р;г;о;S;КИЛОГРАММ;S m inan gen pl
41456;34;в;В;PR;;;в;;;;;;PR;В;PR
41457;35;жиме;ЖИМ;S f inan acc sg;;;е;м;и;ж;;;S;ЖИМ;S f inan acc sg
41458;36;лежа;ЛЕЖАТЬ;V ipf praes - ger - -;;;а;ж;е;л;;;V;ЛЕЖАТЬ;V ipf praes - ger - -
41459;37;.;.;SENT;;;;;;;;;SENT;.;SENT
41460;;;;;;;;;;;;;;;
41461;1;Интервьюер;ИНТЕРВЬЮЕР;S m-f anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m-f anim nom sg
41462;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
41463;3;Угу;УГУ;INTJ;;;у;г;у;;;;INTJ;УГУ;INTJ
41464;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41465;5;что;ЧТО;S n inan acc sg;;;о;т;ч;;;;S;ЧТО;S n inan acc sg
41466;6;тебе;ТЫ;SPRO sg 2p - loc;;;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - loc
41467;7;нравится;НРАВИТЬСЯ;V ipf praes sg indic - 3p;;;я;с;т;и;в;а;V;НРАВИТЬСЯ;V ipf praes sg indic - 3p
41468;8;в;В;PR;;;в;;;;;;PR;В;PR
41469;9;культуризме;КУЛЬТУРИЗМ;S m inan loc sg;;;е;м;з;и;р;у;S;КУЛЬТУРИЗМ;S m inan loc sg
41470;10;?;?;SENT;;;;;;;;;SENT;?;SENT
41471;;;;;;;;;;;;;;;
41472;1;Может;МОЖЕТ;ADV -;;;т;е;ж;о;м;;ADV;МОЖЕТ;ADV -
41473;2;какие-то;КАКОЙ-ТО;A - acc pl plen - inan;;;о;т;;е;и;к;A;КАКОЙ-ТО;A - acc pl plen - inan
41474;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41475;4;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
41476;5;знаю;ЗНАТЬ;V ipf praes sg indic - 1p;;;ю;а;н;з;;;V;ЗНАТЬ;V ipf praes sg indic - 1p
41477;6;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41478;7;мотивация;МОТИВАЦИЯ;S f inan nom sg;;;я;и;ц;а;в;и;S;МОТИВАЦИЯ;S f inan nom sg
41479;8;или;ИЛИ;CONJ;;;и;л;и;;;;CONJ;ИЛИ;CONJ
41480;9;что;ЧТО;S n - nom sg;;;о;т;ч;;;;S;ЧТО;S n - nom sg
41481;10;.;.;SENT;;;;;;;;;SENT;.;SENT
41482;;;;;;;;;;;;;;;
41483;1;Владимир;ВЛАДИМИР;persn;;;р;и;м;и;д;а;persn;ВЛАДИМИР;persn
41484;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
41485;3;Ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
41486;4;так как;так как;ZERO;;;к;а;к;;к;а;ZERO;так как;ZERO
41487;5;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
41488;6;поклонник;ПОКЛОННИК;S m anim nom sg;;;к;и;н;н;о;л;S;ПОКЛОННИК;S m anim nom sg
41489;7;классического;КЛАССИЧЕСКИЙ;A - gen sg plen m -;;;о;г;о;к;с;е;A;КЛАССИЧЕСКИЙ;A - gen sg plen m -
41490;8;бодибилдинга;БОДИБИЛДИНГ;S m inan gen sg;;;а;г;н;и;д;л;S;БОДИБИЛДИНГ;S m inan gen sg
41491;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41492;10;достаточно;ДОСТАТОЧНО;ADV -;;;о;н;ч;о;т;а;ADV;ДОСТАТОЧНО;ADV -
41493;11;сейчас;СЕЙЧАС;ADV -;;;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -
41494;12;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
41495;13;много;МНОГО;ADV -;;;о;г;о;н;м;;ADV;МНОГО;ADV -
41496;14;ругаемого;РУГАТЬ;PARTCP ipf inpraes acc sg plen m pass anim;;;о;г;о;м;е;а;PARTCP;РУГАТЬ;PARTCP ipf inpraes acc sg plen m pass anim
41497;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41498;16;так как;так как;ZERO;;;к;а;к;;к;а;ZERO;так как;ZERO
41499;17;вообще;ВООБЩЕ;ADV -;;;е;щ;б;о;о;в;ADV;ВООБЩЕ;ADV -
41500;18;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41501;19;спорт;СПОРТ;S m inan nom sg;;;т;р;о;п;с;;S;СПОРТ;S m inan nom sg
41502;20;индустрия;ИНДУСТРИЯ;S f inan nom sg;;;я;и;р;т;с;у;S;ИНДУСТРИЯ;S f inan nom sg
41503;21;очень;ОЧЕНЬ;ADV -;;;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -
41504;22;сильно;СИЛЬНО;ADV -;;;о;н;ь;л;и;с;ADV;СИЛЬНО;ADV -
41505;23;шагает;ШАГАТЬ;V ipf praes sg indic - 3p;;;т;е;а;г;а;ш;V;ШАГАТЬ;V ipf praes sg indic - 3p
41506;24;вперед;ВПЕРЕД;ADV -;;;д;е;р;е;п;в;ADV;ВПЕРЕД;ADV -
41507;25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41508;26;появились;ПОЯВИТЬСЯ;V pf praet pl indic - -;;;ь;с;и;л;и;в;V;ПОЯВИТЬСЯ;V pf praet pl indic - -
41509;27;многие;МНОГИЙ;A - nom pl plen - -;;;е;и;г;о;н;м;A;МНОГИЙ;A - nom pl plen - -
41510;28;различные;РАЗЛИЧНЫЙ;A - nom pl plen - -;;;е;ы;н;ч;и;л;A;РАЗЛИЧНЫЙ;A - nom pl plen - -
41511;29;виды;ВИД;S m inan nom pl;;;ы;д;и;в;;;S;ВИД;S m inan nom pl
41512;30;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
41513;31;кроссфит;КРОССФИТ;S m inan gen sg;;;т;и;ф;с;с;о;S;КРОССФИТ;S m inan gen sg
41514;32;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41515;33;все;ВСЕ;ADV -;;;е;с;в;;;;ADV;ВСЕ;ADV -
41516;34;прочее;ПРОЧЕЕ;S n - acc sg;;;е;е;ч;о;р;п;S;ПРОЧЕЕ;S n - acc sg
41517;35;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41518;36;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
41519;37;сейчас;СЕЙЧАС;ADV -;;;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -
41520;38;просто;ПРОСТО;PART;;;о;т;с;о;р;п;PART;ПРОСТО;PART
41521;39;классически;КЛАССИЧЕСКИ;ADV -;;;и;к;с;е;ч;и;ADV;КЛАССИЧЕСКИ;ADV -
41522;40;качаться;КАЧАТЬСЯ;V ipf - - inf - -;;;я;с;ь;т;а;ч;V;КАЧАТЬСЯ;V ipf - - inf - -
41523;41;уже;УЖЕ;ADV -;;;е;ж;у;;;;ADV;УЖЕ;ADV -
41524;42;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
41525;43;интересно;ИНТЕРЕСНО;ADV -;;;о;н;с;е;р;е;ADV;ИНТЕРЕСНО;ADV -
41526;44;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41527;45;скучно;СКУЧНО;ADV -;;;о;н;ч;у;к;с;ADV;СКУЧНО;ADV -
41528;46;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41529;47;сложно;СЛОЖНО;ADV -;;;о;н;ж;о;л;с;ADV;СЛОЖНО;ADV -
41530;48;.;.;SENT;;;;;;;;;SENT;.;SENT
41531;;;;;;;;;;;;;;;
41532;1;Интервьюер;ИНТЕРВЬЮЕР;S m-f anim nom sg;;;р;е;ю;ь;в;р;S;ИНТЕРВЬЮЕР;S m-f anim nom sg
41533;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
41534;3;Не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
41535;4;модно;МОДНО;ADV -;;;о;н;д;о;м;;ADV;МОДНО;ADV -
41536;5;?;?;SENT;;;;;;;;;SENT;?;SENT
41537;;;;;;;;;;;;;;;
41538;1;Владимир;ВЛАДИМИР;persn;;;р;и;м;и;д;а;S;ВЛАДИМИР;S m anim nom sg
41539;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
41540;3;Не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
41541;4;модно;МОДНО;ADV -;;;о;н;д;о;м;;ADV;МОДНО;ADV -
41542;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41543;6;даа;ДАА;NONLEX;;;а;а;д;;;;NONLEX;ДАА;NONLEX
41544;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41545;8;поэтому;ПОЭТОМУ;PR;;;у;м;о;т;э;о;PR;ПОЭТОМУ;PR
41546;9;мне;Я;SPRO sg 1p - loc;;;е;н;м;;;;SPRO;Я;SPRO sg 1p - loc
41547;10;сложно;СЛОЖНО;ADV -;;;о;н;ж;о;л;с;ADV;СЛОЖНО;ADV -
41548;11;судить;СУДИТЬ;V ipf - - inf - -;;;ь;т;и;д;у;с;V;СУДИТЬ;V ipf - - inf - -
41549;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41550;13;я;Я;SPRO sg 1p - nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
41551;14;в;В;PR;;;в;;;;;;PR;В;PR
41552;15;силу;СИЛА;S f inan acc sg;;;у;л;и;с;;;S;СИЛА;S f inan acc sg
41553;16;уже;УЖЕ;ADV -;;;е;ж;у;;;;ADV;УЖЕ;ADV -
41554;17;давнишнего;ДАВНИШНИЙ;A - gen sg plen n -;;;о;г;е;н;ш;и;A;ДАВНИШНИЙ;A - gen sg plen n -
41555;18;своего;СВОЙ;A - gen sg plen n -;;;о;г;е;о;в;с;A;СВОЙ;A - gen sg plen n -
41556;19;увлечения;УВЛЕЧЕНИЕ;S n inan gen sg;;;я;и;н;е;ч;е;S;УВЛЕЧЕНИЕ;S n inan gen sg
41557;20;придерживаюсь;ПРИДЕРЖИВАТЬСЯ;V ipf praes sg indic - 1p;;;ь;с;ю;а;в;и;V;ПРИДЕРЖИВАТЬСЯ;V ipf praes sg indic - 1p
41558;21;этой;ЭТОТ;A - ins sg plen f -;;;й;о;т;э;;;A;ЭТОТ;A - ins sg plen f -
41559;22;линии;ЛИНИЯ;S f inan gen sg;;;и;и;н;и;л;;S;ЛИНИЯ;S f inan gen sg
41560;23;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
41561;24;хотя;ХОТЯ;CONJ;;;я;т;о;х;;;CONJ;ХОТЯ;CONJ
41562;25;за;ЗА;PR;;;а;з;;;;;PR;ЗА;PR
41563;26;последнее;ПОСЛЕДНИЙ;A - acc sg plen n inan;;;е;е;н;д;е;л;A;ПОСЛЕДНИЙ;A - acc sg plen n inan
41564;27;время;ВРЕМЯ;S n inan acc sg;;;я;м;е;р;в;;S;ВРЕМЯ;S n inan acc sg
41565;28;вот;ВОТ;PART;;;т;о;в;;;;PART;ВОТ;PART
41566;29;добавляю;ДОБАВЛЯТЬ;V ipf praes sg indic - 1p;;;ю;я;л;в;а;б;V;ДОБАВЛЯТЬ;V ipf praes sg indic - 1p
41567;30;некоторые;НЕКОТОРЫЙ;A - nom pl plen - -;;;е;ы;р;о;т;о;A;НЕКОТОРЫЙ;A - nom pl plen - -
41568;31;новые;НОВЫЙ;A - nom pl plen - -;;;е;ы;в;о;н;;A;НОВЫЙ;A - nom pl plen - -
41569;32;элементами;ЭЛЕМЕНТ;S m inan ins pl;;;и;м;а;т;н;е;S;ЭЛЕМЕНТ;S m inan ins pl
